popularity,genres,sub-genres,explicit,followers,danceability,energy,key,loudness,mode,tempo,duration_ms,time_signature
73,69,121,0,9012980,0.837,0.462,0,-7.89,1,139.986,201400,4
76,69,138,0,3152834,0.656,0.578,7,-8.97,0,94.514,256733,4
81,54,67,1,20164612,0.629,0.696,1,-5.572,0,93.034,207627,4
81,24,121,0,55382107,0.779,0.64,7,-8.415,1,99.019,246960,4
82,84,59,1,11245845,0.614,0.574,11,-7.961,1,125.173,209107,5
78,153,178,1,2799792,0.675,0.479,0,-9.87,0,81.998,209493,4
79,151,115,1,14045693,0.496,0.682,8,-4.095,1,167.06,262333,4
69,69,63,0,5412457,0.877,0.637,1,-3.493,0,119.988,272080,4
76,50,102,0,251769,0.599,0.785,3,-4.013,1,140.046,233640,4
92,76,67,1,71187065,0.637,0.678,0,-3.798,1,84.039,250760,4
